date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:41:52	48623/48623	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2007:42:37%20GMT	https://colorlib.com/polygon/gentelella/index.html	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/gentelella/index.html	(from )
06:41:53	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
06:41:55	1458/1458	---MCZ	200	added ('OK')	text/css	etag:W/%2258882170-5b2%22	https://colorlib.com/polygon/vendors/nprogress/nprogress.css	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/nprogress/nprogress.css	(from https://colorlib.com/polygon/gentelella/index.html)
06:41:55	1317/1317	---MCZ	200	added ('OK')	text/css	etag:W/%2258882170-525%22	https://colorlib.com/polygon/vendors/iCheck/skins/flat/green.css	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/iCheck/skins/flat/green.css	(from https://colorlib.com/polygon/gentelella/index.html)
06:41:56	5014/5014	---MCZ	200	added ('OK')	text/css	etag:W/%2258882170-1396%22	https://colorlib.com/polygon/vendors/bootstrap-progressbar/css/bootstrap-progressbar-3.3.4.min.css	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/bootstrap-progressbar/css/bootstrap-progressbar-3.3.4.min.css	(from https://colorlib.com/polygon/gentelella/index.html)
06:41:56	621/621	---MCZ	200	added ('OK')	text/css	etag:W/%2258882170-26d%22	https://colorlib.com/polygon/vendors/jqvmap/dist/jqvmap.min.css	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/jqvmap/dist/jqvmap.min.css	(from https://colorlib.com/polygon/gentelella/index.html)
06:41:56	8133/8133	---MCZ	200	added ('OK')	text/css	etag:W/%2258882170-1fc5%22	https://colorlib.com/polygon/vendors/bootstrap-daterangepicker/daterangepicker.css	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/bootstrap-daterangepicker/daterangepicker.css	(from https://colorlib.com/polygon/gentelella/index.html)
06:42:01	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%2258882170-7187%22	https://colorlib.com/polygon/vendors/font-awesome/css/font-awesome.min.css	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/font-awesome/css/font-awesome.min.css	(from https://colorlib.com/polygon/gentelella/index.html)
06:42:01	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%2258882170-1d970%22	https://colorlib.com/polygon/vendors/bootstrap/dist/css/bootstrap.min.css	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/bootstrap/dist/css/bootstrap.min.css	(from https://colorlib.com/polygon/gentelella/index.html)
06:42:01	37622/37622	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2007:42:37%20GMT	https://colorlib.com/polygon/gentelella/index2.html	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/gentelella/index2.html	(from https://colorlib.com/polygon/gentelella/index.html)
